Review,Rating
'I saw a story on the TV about this place and decided to give it a try. It was a good burger. It is bit pricey but oh well. It was juicy and had good flavor and the fries were tasty too. Not reinventing the wheel by any means but my burger tasted good and thats what its all about.',4
'Just like home!!! Now that I have moved far from home its hard to find that home Filipino cooking either its not fresh or the flavors are just off. Gingerroot did a spectacular job their pork was crispy the dinaguan had the right amount of vinegar and the right amount of patis was added to the pancit.',4
'This place is great a true American breakfast joint. It looks as if it is family owned and some of them work here which gives it a small town feel yet it seems to be a pretty popular place in old Downtown Gilbert. Weve been here a few times for Sunday b-fast. The styling of the place is true old-meets-new theme which is pretty cool.   Everything on there menu that weve had seems to be made of quality ingredients and cooked to perfection. The service is generally pretty good weve had less-than-perfect service a couple times but its usually pretty good. They source there sausage products from Shriners locally which is great sausage. Their biscuits and gravy are seriously some of the best you will ever have the Turkey sausage is excellent and if you didnt know it was turkey you would still think it is excellent sausage. The cheesy-potatoes (cant remember what they call them!) are usually amazing but we have noticed some times they are better than others.  My wife enjoys there espresso drinks but they dont offer anything besides whole milk and early on a Sunday we try to keep it light. Their brewed coffee is good as well. The only limitation they may have is the menu there is not much other than basic breakfast combos and omelets which are all great but it would be nice to see sandwiches and other options. They do have an assortment of baked goods which look amazing. They only offer scrambled eggs which I like but my wife likes her eggs over easy and she doesnt get that option.  Overall for a great breakfast experience Liberty Market is one of the best EVER! The only place that may be better is Sugar Shack in Huntington Beach CA. Definitely worth checking out if youre in the east valley.',4
'The good was prompt seating and the chicken fried steak was really good.  Eggs where room temperature waiter never checked in for us to tell him and overall service was poor. Tall lanky guy with the shaved head didnt seem to care. I had to get up to find him for the check. After all the good reviews I was expecting average service. We were thinking of going back again but no chance now. One of the few times I didnt leave a tip.',1
'Let me give you some tips about this place.   First off dont tell my wife I come here she might get mad. But if you did I would just tell her that I only come for the food. Thats what you should tell your wife whenever she gets mad at you for coming here too because its true. They actually have good food. Also you can tell your wife that you just watched sports and fail blogs on TV and didnt see none of those ladies. Because thats true too they have a lot of TVs playing sports and fail blog videos. Also if you buy a calendar or mousepad or something keep that at work...I dont know how to explain that one man.',5
'So its Saturday night and youre looking for a great place to have rattlesnake?  Well this is it!  Besides fantastic steaks etc. they have a really wonderful rattlesnake appetizer.  Tastes kinda like fried calimari.  A little chewy a little crunchy and oh so yummy.  They have a strolling guitar player / singer who will cinch the romantic western Saturday night trying to impress a date evening.  Sit under the stars and palms and just mellow . . .',5
'This is one of my favorite Fox concepts. The atmosphere on the patio during the mild weather seasons is to die for! The service is always incredible.  The break and pesto before the meal is what I look forward to. I can eat just that alone! I am biased towards the veal ravioli mainly because Im a picky eater. It is truly delicious though. The potato and prosciutto flatbread is also a must have.',5
'I want to give CPEC 5 stars due to their customer service.  I visited CPEC thinking that it was part of my eyecare insurance network.  However when I arrived the staff advised me that it wasnt.  My fault I had changed jobs and should have looked at my new networks providers.  Long story short CPEC pro-rated my exam which I thought was more than fair being they could have charged me full-price.  The exam was very thorough and  staff very courteous as well.  Thanks for a great experience and excellent customer service - Ill be back even though youre not in my network!',5
'Wings were delicious.. Waitress was helpful. Just made a quick stop before a concert with my lady. I will definantley try to go back next time im in the area..!!',4
'I went here Saturday night with a party of 7.  It was about 8pm and the place was not that busy.  The owner came up to us right away to greet and seat us.  We were the only gringos in the place so this was a good sign.  Ive only had Korean cuisine a handful of times so Im not that good of a judge when talking about the authenticity or quality of the food.  However everything I had was excellent.  The bbq ribs were bomb and so was my entree.  I still cant pronounce what my entree was but it was rice veggies beef and egg in this 9000 degree pot thing.  It was delicious and reminded me of awesome fried rice.  The best part of this place is the owner HS or Hot Stuff.  He is the most friendly outgoing and energetic Korean guy ever.  It is like dinner and a show with this guy.  Among other things takes saki-bombing to another level and makes it quite an event.  Although a bit pricey for what you get this place is awesome and I cant wait to go back.  Its a fun locally owned small business that puts out some decent and unique food.  Couple that with a character such as Hot Stuff and you cant miss.',5
'Had a great time here! Had only two problems-1) No purse allowed? How am I supposed to dress sexy and have pockets at the same time? Taking away a femmes purse is a federal crime!-2) Really hard to find if you dont know it is in a SHOPPING CENTER! I had never seen a club before in like a supermarket shopping center....but the space is actually quite big!',4
'The Chart House has been a restaurant that has been around for ages (nationally) and unfortunately its starting to show.  This seems to be a place that has grown with its clientele -- those people who come here are the same families that have been coming for years but are now bringing their children and grandchildren.  There is nothing wrong with that (my family has its faves) but I might just be too late attempt to add another.  As such the Chart House while perfectly picturesque and with decent service just isnt a culinary star in Scottsdale.  More specifically my wife and I ordered the coconut shrimp and the blue-cheese/panko crusted asparagus for appetizers.  Admittedly the coconut shrimp was a throw-away dish -- its our go-to at Outback and we had a craving.  The asparagus was a bit different but enjoyable -- it wasnt pretty but it certainly had us talking about it as the high-point afterwards.  The macadamia crusted mahi was simply so-so.  While not bad the fish wasnt flaky and the sauce (peanut something-or-other) was so heavy it masked the mahi flavor.  My wifes ceasar salad had 3 croutons in total on it -- not a deal breaker but it seemed pre-prepared.  But the one thing that customers need to know the prepared cocktails (at ~$10 a pop) and really light on the pours and even lighter on the flavor (e.g. pineapple caipirhana) -- we couldnt justify getting a second drink with the entree.  We had high hopes for this place (we had been to the one in San Diego years ago) and unfortunately it would not be a place we would actively choose to go again.  That being said we wouldnt say no if someone really wanted to go.  In our estimation it was simply an overpriced so-so restaurant.  If it werent for the lovely view I think our night would have underwhelmed completely.',2
'I cant say enough about this steak house Frashers catered to my nephews wedding and the service and food was beyond 5 stars. I recommend everyone wanting fine dining and service to use Frashers for their next event. George and his crew went beyond to see that every detail was the best experience for all guest and the wedding party. The food was the greatest I ever experienced at any catered event Ive attended.',5
'Not my favorite place for karaoke... I find their book to be lacking. Aside from that it seems to be a decent neighborhood bar that draws in an outside crowd. The place is a bit generic but that wont prevent you from having a good time.  The crowd seemed to be younger the times Ive gone - early to mid-20s mostly. The drink prices were reasonable. The bar food was tolerable but greasy.',3
'Wow I saw them on 3TV and was in the neighborhood. I bought a few pies. Yummm! I wasnt crazy about the dessert pies but loved the other pies. I dont like nutmeg thats why i didnt like the fruit. Otherwse I had the ham cheese and egg the spinach quich the pork chili all delcious. Next timeI will buy more to try. The crust was flaky and light but did not fall apart. I am defintely putting my order in for more. It is convenient that you can put in an order and pick it up at one of the farmers markets around the valley.',5
'I love books and I love bargains. Put the two together and you have a place called Bookmans or as I like to call it my book heaven. I recently purchased four books for about $30 -- thats the price of one new hardbound book -- and was thrilled by all the great bargains I found during my casual stroll through the many many isles of books cds and dvds.  What I love about the whole used bookstore concept is being able to give a new life to a book someone didnt want anymore.  I especially get a kick out of finding old books with inscriptions inside. One I found says:         Pam This is my number 1 all time favorite book. I hope you have         a relaxing holiday with your family and look forward to adventures         in the new year!  I felt bad for the inscriber since the book obviously did not become Pams favorite so I bought it in hopes that the inscription would ring true for me.  Im glad a bookstore like Bookmans is around and that they are able to compete with the big chains.  It is a great place to find great deals and Im hooked!',4
'Its cool spot. Came here once. Theres a patio for the smokers parking lot drinks are strong :-) only miller light on tap but carry other bottled beers. Bar tender Wed night was a cool guy. There is also a room with a stage. One toilet per bathroom is a minus and can only imagine crowded nights and waiting.',3
'Went with two friends for appetizers after a movie.  Service was great.  Food was eh.  The Alice Springs chicken quesadilla was good but something I felt you could get anywhere.  Besides chicken and cheese it had mushrooms and bacon with a honey mustard dipping sauce.  The Kookaburra wings not so good.  Dry.  The Blueberry martini was tasty but lacking in alcohol and Im a lightweight these days when it comes to alcohol.',2
'Just tried the Habit for the first time tonight. The burgers were tasty not GREAT but good. The fries were a bit soggy and soft but still tasted good. The atmosphere was clean and the staff was friendly...but...a 30 minute wait on a Thursday night to get my to go order? UNACCEPTABLE!  10 minutes in line and then 20 minutes waiting get my food. For a restaurant of this kind that is just crazy. Not sure if the food was good enough to keep me coming back.',3
'This place I have been hoping and waiting for since I started seening their commercials on TV now that they are here they are my new regular place to go my parents are coming into town this weekend from California and they want to go as they have seen the commercials in California too. So we are going to dinner tonight.',5
'So good here.  So good.  I asked my friend who lives in Phoenix whats a place that is Phoenix and I cant eat anywhere else.  She recommended Ponchos and man I am glad she did.  I had already eaten a bag of Ruffles sour cream and cheddar so my stomach wasnt feeling that great.  But I had to get the pollo fundido and it was amazing.  It was pretty big.  Ok enough about that just know it was amazing.  I am salivating thinking about it.  The chips and salsa was great.  Everything was great.  Go here for some authentic Mexican food.  Yum.',5
'The spa at the Arizona Biltmore Resort http://www.yelp.com/biz/4olxJGHtxb4xIl2TSmDjHg#hrid:Xi5wc0M6zaBeirZ3QEHWkQ is located near the Paradise wing the waterslide and the Catalina rooms.  The closest parking would be the Catalina rooms along the Arizona Canal.  I had booked my spa treatment 6 months out and called to check on it a month out thankfully I did they got the date and time wrong.  I called another time to check on my reservation and it was correct.  I was running late from my flight and they kindly moved my Biltmore Block package from 1pm to 3:00pm on Friday with a couple of hours notice.  My package would take around 3plus hours massage facial manicure and pedicure.  $385.  18% tax and gratuity.  Our dance convention got 30% off of a la carte spa treatments not packages.  The entrance was small with a reception desk but a large retail area of spa products.  You are shown the facility pretty good size with a locker room with lots of bathroom/spa amenities lounge with snacks and drinks (loved their peach flavored signature tea) dry and wet sauna jacuzzi (clothing optional) showers work out room (I didnt take photos I was there to dance and relax not exercise) massage and aesthetician rooms.    The massage room is small and my female masseuse was very attentive and mindful of the cooler room so she had warm blankets to cover me.  The estheticians room was small also she was a little young immature and too chatty for me but I was still pleased with my facial.  For my mani and pedi you leave the spa building and go next door to the end of the Paradise wing where the salon is located.  They have the spa massage chairs for the pedi.  Love them.  One thing they are missing are toe and fingernail dryers but you are on vacation so you take your time finish drying near the pool in your cabana with canana boys running around to do your bidding.  You have to go back next door to the Spa to pay for your treatments at the end.  When you stay as a hotel guest you have access to everything til around 8pm so loved to stop by and fill my waterbottle full of their ice tea and pick up a piece of fruit.  Would have hung out here much more if I didnt have a poolside cabana.  Was very pleased with my treatments and the service.',4
'This is a hidden gem! Ive never seen it as busy as others that I have been to but they are awesome!  The are similar to the other self serve froyo places but I like the layout better than others I have been to.  They always have new flavors and many flavors to choose from.    The toppings bar is an island in the center of the area which allows easy access for multiple people to use it.  Others have a buffet line type set up which keeps the flow of traffic moving but if you want to skip the candy and move to the fruit you are also cutting in line.  With the island set up you can get what you want and get out of there.  Seating is plentiful with many spots outside too.    The quality is good and the place is always clean.',4
'Great event! The food and drinks were awesome cant wait to hit up Outback for happy hour some time soon! Thanks to everyone who came and mingled and made it very entertaining. It was nice to meet a bunch of new people as always and personally I liked the bar atmosphere',5
'Overrated and expensive. When Oceanaire opens at the Biltmore Id gladly drive down there versus Ocean Club.',3
'Great Atmosphere here!  If you like fine dinning with your Mexican food youll love this place!  Youll be greeted by a host or hostess once you walk in. This place has a really nice theme and great style of culture.  You get chips and salsa once you are seated which is really cool. There is three different kinds of salsa with the chips. I really like the green colored one!   I ordered an ultimate margarita on the rock without salt... The Margaritas here are really good! After about three of the ultimate one I started to feel really good! Have to love the liquid courage! HAHA  Off the menu you I ordered the mini chimis the beef ones. The meet was very delicious and the sides were very nicely arranged.   My overall experience here was really good! Next time I return here I think Ill try the beergartita and the enchiladas.',4
'Why is a cheapskate like me shopping at AZ Tile?  Well the Tempe location has many secrets - secret deals that is.  OK so theyre not that secret but if youve been to the other locations youre just looking a gorgeous displays of lovely tile and solid surface slabs.  But at the Tempe location this is where the extra unwanted slightly mismatched or maybe slightly marred items go on sale.  Venture outside past the rows of gorgeous slabs on the inside and you hit the huge outside yard filled with sale slabs.    I bought a bunch of their Samsung Radiance Quartz on sale - because it wasnt up to Samsungs standards.  The errors were circled in pencil and they were tiny and easy to work around.  Thank you picky Samsung!  The marble and granite slabs are also a deal out in the yard.  You have to look around but youll be happy.  And then there are the secret tile deals!  I seriously have been coming to this place for years and had never been back past the Tile Sales desk (go through the pretty Tile sales room past the lovely bathrooms past the slab room and desk where you get your hard hats keep walking back through the doors and you hit the Tile Sales desks.  OK go past the Tile Sales desks and outside.  Wahlah!  Strange and wonderful short supply items in tile.  Ive never bought any of this tile - too strange mostly :).  But there are some serious deals out there if theres something you want.    Last time I was out there there were some huge pieces of granite that had been slabs that were cut into tiles for some special order.   Really wild stuff.  So yes it is true I buy most of my tile down the street at Floor and Decor.  But if you either want something special tilewise or you want some sale slabs Arizona Tile is the place.',5
'oh man its time for the fried food festivities at the fair again!   now on sundays its 2 bucks before 2pm to get in (it use to be free before 11am). and parking goes way up around 11am. we pulled into one of the side street lots and got parking for 5 bucks. as we were walking out they changed the sign to 10 bucks and then again to 15 bucks!  it was the same as last year...hot full of greasy food and more tattood/booty short wearin/large panus people than you can shake a stick at! which is why its so damn fun.   we notice 4peaks was doing a beer exhibition and show but that never materialized. we did buy the 35 dollar all you can ride wrist bands and made it onto about 5 rides but then we got tired of standing in lines for over 30 minutes so we spent the rest of the time wandering around and eating horribly.   on that note the deep fried watermelon was actually pretty darn good (it should be a 8.50). the deep fried nutella was gooey goodness as expected. i wasnt impressed with the deep fried reese cup. what blew us a way was the deep fried lasagna. we read that it was super good and they were correct.   the dough was thin just on the outside layer of pasta and it was super crispy and salty. the lasagna itself was very tasty...thick marinara with plenty of spinach and mushrooms and cheese. our favorite food at the fair in many years.   go early on the weekends and buy a 1 dollar water outside the gate but dont open it (you are allowed unopened beverages) because once inside that same water will cost 3 bucks.   otherwise....enjoy the atrocity that is the AZ state fair!',5
'Love it.  Lines are long during dinner hours but its worth it.  each plate is anywhere between 1$ to 3$.  there are a lot of varieties and you can even order directly.   if you dont like the sushi there are other food options availables.',4
'Enjoy coming here with a group cooking our own grub and playing in the sand. Evenings in April and May are great as are September and October. Winters are a bit chilly after sunset and the summer... well I dont need to explain that one.   No great deals on food or drinks. Service is hit or miss but I come for the company and dont really mind. Order a few pitchers and your grub to cook then pretend youre at home having a BBQ. No service required!',3
'As one of my anniversary gifts to my husband I made him an appointment for a  massage and the signature Oxygen facial for me. Once checked-in the ladies escort you back to the changing room where your given an oversized fluffy soft robe and slippers. The lounge area has cucumber slices for your eyes cheese for your hunger and water or tea for your thirst. Try out the steam shower to get clean for the treatments. The oxygen facial was just what I needed after a long flight. It perked up my previously dry lifeless skin but left me feeling refreshed and relaxed. My husband enjoyed his massage stating it was done with the correct amount of pressure.',4
'The first time I went about 4 years ago we sat in the dining room . Service was adequate the food was good enough and it was just an average experience. As we walked out we noticed that the bar was the place to be! Since then we have been for happy hour at least 20 times.   We make reservations and a booth is always waiting for us! Live Jazz and the people watching is always a plus. Skip the bread its not worth it. I think weve tried pretty much every appetizer on the menu. Hands down favorite are the Shrimp and Shitake fritters. The Kung Pao calamari is unique the addition of peanuts and crunchy veggies. The sauce is divine and we always order extra for the fritters! The Ahi in soba broth (not the tartare) is light and fresh.  Dont waste the cals or tummy space on the Tempura scallops. The Jumbo shrimp and crab salad is a treat and the portion is huge.  They also have amazing blue cheese dressing even though it is quite garlicky.  Also a miss were the lobster spring rolls they were too fried and crunchy with no trace of lobster!  We tend to stick with the happy hour offerings but we tried a special soft shell crab tempura once. It is one of the best things I have ever had!',5
'The food here is very unique yummy fusion between Mexican & Chinese. Have to try it to believe it! very laid back & I got to have a glass of wine with my dinner. Im def a fan',4
'Brooklyn style pizza (the only real pizza) at its absolute BEST. Half the spots in Brooklyn dont even match Patsy Grimaldis. Dont waste your money or risk your tastebuds on any imitations...  The margarita (fresh tomato mozzarella and basil) is my favorite and most purists will agree a good pizza rarely needs more. Also a great wine selection service and atmosphere. This location is my favorite however they are all great and consistently high in quality and service.',5
'I have been frequenting Pita Jungle for over 7 years since I have moved to the Valley.  They WERE one of my favorite eateries.  I have hosted keynote speakers and workshop facilitators  from the college for lunch and dinner at Pita Jungle where wed have upwards to 20 people at the restaurant and tip handsomely.  Today for some reason I along with a group of friends was ignored as we waited to be served.  We were seated and were not offered beverages until I began to wave my hands after sitting for 10 minutes.  The waters were brought to us by a reluctant host (no servers dared to approach the table...they all stared at one another) who told us that our server was busy but shed be right with us.  Another seven minutes passed and shed walked by our table six times and never looked in our direction.  We decided to leave the establishment and the overworked server that couldnt acknowledge a party of three (while servicing multiple tables AROUND ours.)    In short I will NOT be financially supporting Pita Jungle in the future. The lack of acknowledgement was so blatant that neighboring tables were looking at us and then looking at the server wondering what was going on...what a shame.',1
'We enjoyed our selves potstickers crab puffs S&P pork chops(killer) and  walnut shrimp BBQ pork Fried (OK)... We will be back!',4
'If I could do anything in life as well as Essence does croissants I would die a happy woman.  Perfection.',5
'Love this place for a casual dining experience. Great pulled pork and chicken.  Also many BBQ sauces to choose from and the best fries in the world. Service is typically very good although it can be server-dependent.',5
'On the very rare occasion we were in downtown Chandler for a friends birthday dinner.  After dinner we were full the weather was nice and we were craving dessert.  I had heard about Paletas Betty and always wanted to try it.  I decided on the arroz con leche which basically tasted like rice pudding.  It was good and creamy .  My brother had the platano (bananas foster with carmel and rum) - his was pretty good but it didnt have that creamy texture but more of a frozen bar that you had to bite down hard to break a piece off.  Though the concept is neat all with the mold that shows each bar has been taste tested with a bite mark on each corner it isnt something that I would really ever crave again.  It was nice to try to say I have now tried it but I definitely wouldnt go out of my way to have it.  Nonetheless its a local business so everyone else who lives in the area should frequent the place!!',3
'Was ok',3
'Ho brah...heard dis place was da kine went here wikiwiki at pau hana time....Finding ono grinds in Arizona is tough yeah. Evens do Arizona has choke local people. Whadda gives you say brah? Do local people stop liking Hawaiian food when dey come to da mainland? Ho dont look at me brah Ill nevah forget my first time grinding at Rainbows washing down my plate lunch with a slush float...but anywayz....  Aloha Kitchen aint Rainbows brah. It hints at da Islands with a linoleum floor and basic tables and chairs. (Dis assumes brah you come on a day other than Mondays when da Kitchen is pau.) But as you walk around dont expect to see like shave ice or spam musubi or some guy with a wet okole.  Still its casual and relaxed and usually not loud n crazy.  Not that I know fo sure brah. I always get da kalbi to go and dont stick around der long. So you says to youzeself brah dis fella order one thing on da menu and hes gonna tell me how dis place broke da mouth? Brah fo reals. Da proof is in da mac salad scoops of rice youze name it. Go to a chain like L&L or Ono....you see what I mean bumbye.   Aloha Kitchen is strictly a counter place. Da grinds may come with a touch of ohana...but dont expect anyone to serve you. You order you pay an den you grind brah An wen you done you talk story until youre pau. Still da girl at da counter is choke friendly and never rude.  Whuzzat youze say? Doesnt everything in Hawaii cost more? Especially grinds? Fo sure brah...a trip to a supermarket in Hawaii can give you chicken skin. Good news is brah da Kitchen wont do that. As of yet nothing is over $10...but den again is it gonna stay dat wayz fo evahs? No ways brah no ways.   S if it is take out you crave and you dont feel like Subwayz or Mickey Ds den take youze opu to Aloha Kitchen Youll be hundred of miles away from da beach or waterfalls or an ABC Store...But...youll be full...an not just of aloha brah.',4
'I come here to see Kim. Shes GREAT! She makes me feel very comfortable. Shes probably the only reason why I go here though. Yes everything is up to date clean and appealing but the front desk girls usually have an attitude and arent very welcoming. Also I usually wait an hour past my appointment to see my gyno. The nurse will call me back on time takes my weight and blood pressure then has me undress in the room. So I sit there naked and cold on the table for the remainder of the time. Like I said my doctor is the only reason why I keep coming back. Shes absolutely great.',3
