date,cny,dxy
7/30/14,6.172,81.214
7/31/14,6.1738,81.432
8/1/14,6.1795,81.456
8/4/14,6.1793,81.302
8/5/14,6.1708,81.328
8/6/14,6.1634,81.328
8/7/14,6.1609,81.444
8/8/14,6.1564,81.524
8/11/14,6.1542,81.389
8/12/14,6.1581,81.466
8/13/14,6.1542,81.5
8/14/14,6.1531,81.596
8/15/14,6.1472,81.588
8/18/14,6.1437,81.424
8/19/14,6.1417,81.576
8/20/14,6.1408,81.883
8/21/14,6.152,82.226
8/22/14,6.1528,82.154
8/25/14,6.154,82.336
8/26/14,6.1531,82.549
8/27/14,6.1434,82.65
8/28/14,6.1438,82.428
8/29/14,6.1436,82.477
9/1/14,6.1433,82.748
9/2/14,6.1476,82.748
9/3/14,6.1414,82.992
9/4/14,6.1386,82.865
9/5/14,6.1411,83.82
9/8/14,6.1414,83.739
9/9/14,6.1368,84.232
9/10/14,6.1298,84.278
9/11/14,6.1303,84.283
9/12/14,6.1351,84.298
9/15/14,6.1414,84.24
9/16/14,6.1463,84.264
9/17/14,6.1397,84.074
9/18/14,6.1414,84.345
9/19/14,6.1409,84.323
9/22/14,6.1407,84.735
9/23/14,6.1384,84.752
9/24/14,6.1342,84.658
9/25/14,6.1365,85.037
9/26/14,6.1267,85.195
9/29/14,6.1533,85.64
9/30/14,6.1394,85.591
10/1/14,6.1396,85.936
10/2/14,6.1378,85.972
10/3/14,6.1395,85.601
10/6/14,6.1383,86.694
10/7/14,6.1401,85.928
10/8/14,6.1387,85.672
10/9/14,6.1305,85.297
10/10/14,6.131,85.522
10/13/14,6.1263,85.912
10/14/14,6.1248,85.532
10/15/14,6.1263,85.822
10/16/14,6.1233,85.147
10/17/14,6.1252,84.955
10/20/14,6.1241,85.11
10/21/14,6.123,84.953
10/22/14,6.1181,85.303
10/23/14,6.1197,85.741
10/24/14,6.1165,85.843
10/27/14,6.1162,85.732
10/28/14,6.1143,85.495
10/29/14,6.1114,85.408
10/30/14,6.1154,85.952
10/31/14,6.113,86.147
11/3/14,6.1192,86.917
11/4/14,6.1162,87.309
11/5/14,6.1145,86.984
11/6/14,6.1126,87.444
11/7/14,6.1224,88.012
11/10/14,6.1199,87.642
11/11/14,6.1251,87.81
11/12/14,6.1263,87.531
11/13/14,6.1261,87.822
11/14/14,6.13,87.674
11/17/14,6.127,87.525
11/18/14,6.1213,87.926
11/19/14,6.1212,87.575
11/20/14,6.1261,87.647
11/21/14,6.1248,87.591
11/24/14,6.1424,88.31
11/25/14,6.1373,88.151
11/26/14,6.1385,87.92
11/27/14,6.1386,87.607
11/28/14,6.145,87.607
12/1/14,6.1506,88.356
12/2/14,6.15,87.946
12/3/14,6.1502,88.647
12/4/14,6.1549,88.956
12/5/14,6.1523,88.704
12/8/14,6.1715,89.334
12/9/14,6.1879,89.041
12/10/14,6.1755,88.69
12/11/14,6.1889,88.271
12/12/14,6.1884,88.663
12/15/14,6.1934,88.363
12/16/14,6.1906,88.46
12/17/14,6.1972,88.125
12/18/14,6.2156,89.133
12/19/14,6.2211,89.235
12/22/14,6.2228,89.598
12/23/14,6.2257,89.77
12/24/14,6.2161,90.064
12/25/14,6.2009,89.967
12/26/14,6.213,89.835
12/29/14,6.2245,90.03
12/30/14,6.2029,90.19
12/31/14,6.2055,89.991
1/1/15,6.2077,90.269
1/2/15,6.2077,90.276
1/5/15,6.2201,91.08
1/6/15,6.2134,91.378
1/7/15,6.2128,91.499
1/8/15,6.2141,91.89
1/9/15,6.2087,92.368
1/12/15,6.2039,91.935
1/13/15,6.1996,91.983
1/14/15,6.1969,92.31
1/15/15,6.1883,92.161
1/16/15,6.2078,92.352
1/19/15,6.2204,92.52
1/20/15,6.2137,92.52
1/21/15,6.2123,93.046
1/22/15,6.209,92.904
1/23/15,6.2287,94.077
1/26/15,6.2556,94.762
1/27/15,6.2432,94.802
1/28/15,6.2473,94.022
1/29/15,6.2467,94.467
1/30/15,6.2506,94.782
2/2/15,6.2599,94.804
2/3/15,6.2582,94.504
2/4/15,6.2481,93.6
2/5/15,6.2529,93.986
2/6/15,6.2446,93.569
2/9/15,6.2473,94.698
2/10/15,6.2417,94.449
2/11/15,6.2425,94.758
2/12/15,6.2455,94.985
2/13/15,6.2405,94.094
2/16/15,6.2493,94.201
2/17/15,6.2548,94.201
2/18/15,6.2554,94.061
2/19/15,6.2549,94.198
2/20/15,6.2562,94.404
2/23/15,6.2565,94.253
2/24/15,6.2559,94.569
2/25/15,6.2599,94.493
2/26/15,6.2587,94.213
2/27/15,6.2694,95.292
3/2/15,6.2729,95.293
3/3/15,6.2747,95.462
3/4/15,6.271,95.383
3/5/15,6.2662,95.965
3/6/15,6.2631,96.378
3/9/15,6.2646,97.615
3/10/15,6.2619,97.588
3/11/15,6.2625,98.618
3/12/15,6.2625,99.795
3/13/15,6.2589,99.435
3/16/15,6.262,100.33
3/17/15,6.2497,99.604
3/18/15,6.2294,99.585
3/19/15,6.1959,98.55
3/20/15,6.2046,99.26
3/23/15,6.2144,97.909
3/24/15,6.2056,97.033
3/25/15,6.2129,97.193
3/26/15,6.2114,96.979
3/27/15,6.2157,97.436
3/30/15,6.2078,97.291
3/31/15,6.1997,97.975
4/1/15,6.1982,98.357
4/2/15,6.197,98.185
4/3/15,6.1944,97.436
4/6/15,6.1944,96.545
4/7/15,6.1981,96.777
4/8/15,6.203,97.83
4/9/15,6.2059,97.94
4/10/15,6.2087,99.155
4/13/15,6.2163,99.338
4/14/15,6.2117,99.49
4/15/15,6.2051,98.733
4/16/15,6.1969,98.319
4/17/15,6.1979,97.415
4/20/15,6.2017,97.52
4/21/15,6.2017,97.941
4/22/15,6.195,98.004
4/23/15,6.1979,97.932
4/24/15,6.1948,97.278
4/27/15,6.22,96.922
4/28/15,6.2054,96.765
4/29/15,6.1993,96.092
4/30/15,6.2032,95.209
5/1/15,6.2032,94.6
5/4/15,6.2092,95.297
5/5/15,6.2062,95.48
5/6/15,6.2004,95.076
5/7/15,6.2067,94.087
5/8/15,6.2093,94.635
5/11/15,6.2095,94.794
5/12/15,6.2091,95.011
5/13/15,6.2046,94.534
5/14/15,6.2016,93.617
5/15/15,6.2065,93.457
5/18/15,6.2041,93.135
5/19/15,6.2069,94.221
5/20/15,6.2037,95.267
5/21/15,6.1968,95.448
5/22/15,6.1974,95.255
5/25/15,6.2021,96.014
5/26/15,6.2037,96.014
5/27/15,6.2015,97.299
5/28/15,6.2014,97.371
5/29/15,6.1976,96.965
6/1/15,6.1993,96.907
6/2/15,6.1982,97.392
6/3/15,6.1974,95.835
6/4/15,6.2005,95.465
6/5/15,6.2028,95.461
6/8/15,6.206,96.306
6/9/15,6.2059,95.299
6/10/15,6.2059,95.166
6/11/15,6.2067,94.646
6/12/15,6.2084,94.976
6/15/15,6.209,94.972
6/16/15,6.2085,94.81
6/17/15,6.2095,94.999
6/18/15,6.2081,94.296
6/19/15,6.2094,94.042
6/22/15,6.2094,94.085
6/23/15,6.2067,94.329
6/24/15,6.2072,95.432
6/25/15,6.2092,95.264
6/26/15,6.2094,95.187
6/29/15,6.2087,95.472
6/30/15,6.201,94.79
7/1/15,6.2016,95.485
7/2/15,6.2045,96.31
7/3/15,6.2055,96.113
7/6/15,6.2092,96.113
7/7/15,6.2099,96.298
7/8/15,6.2091,96.865
7/9/15,6.2088,96.294
7/10/15,6.2094,96.606
7/13/15,6.2084,96.025
7/14/15,6.209,96.858
7/15/15,6.2092,96.643
7/16/15,6.2095,97.166
7/17/15,6.2095,97.668
7/20/15,6.2097,97.862
7/21/15,6.2095,98.029
7/22/15,6.2094,97.328
7/23/15,6.2096,97.598
7/24/15,6.2095,97.115
7/27/15,6.2098,97.244
7/28/15,6.2095,96.502
7/29/15,6.209,96.772
7/30/15,6.2097,96.976
7/31/15,6.2097,97.56
8/3/15,6.2097,97.336
8/4/15,6.2101,97.494
8/5/15,6.2097,97.931
8/6/15,6.2097,97.958
8/7/15,6.2097,97.833
8/10/15,6.2097,97.563
